house_or_senate,sector_name,bill_id
H,Appropriations,H.R. 352
H,Appropriations,H.R. 175
H,Appropriations,H.R. 277
H,Armed Services,H.R. 393
H,Armed Services,H.Con.Res. 30
H,Armed Services,H.Con.Res. 19
H,Armed Services,H.R. 1103
H,Armed Services,H.R. 989
H,Armed Services,H.R. 406
H,Armed Services,H.R. 379
H,Armed Services,H.R. 1054
H,Armed Services,H.R. 877
H,Armed Services,H.R. 1182
H,Armed Services,H.R. 60
H,Armed Services,H.R. 753
H,Armed Services,H.R. 1279
H,Armed Services,H.Res. 92
H,Armed Services,H.R. 1239
H,Armed Services,H.R. 1248
H,Armed Services,H.R. 963
H,Armed Services,H.R. 846
H,Armed Services,H.R. 936
H,Armed Services,H.R. 941
H,Armed Services,H.R. 886
H,Armed Services,H.R. 1185
H,Armed Services,H.R. 793
H,Armed Services,H.R. 804
H,Armed Services,H.R. 773
H,Armed Services,H.R. 403
H,Armed Services,H.R. 279
